"full_text","reply_count","favorited"
"And here comes the most awaited news😀 
#NEET2021 result expected any time soon! Stay Tuned!","7","false"
"From the lanes of Madurai to Silicon Valley, today Sundar Pichai has turned into a name to reckon with. 
We wish him a #HappyBirthday and a successful year ahead. We hope he'll continue to inspire young Indian minds and achieve greater heights in future as well.
#sundarpichai https://t.co/cSJpNnL2gO","2","false"
"#Kotacoaching #Bihar मुजफ्फरपुर, सीतामढ़ी व वैशाली के लिए रात 9 बजे ट्रेन रवाना होगी। बिहार रवाना हो रही सिंगल ट्रिप माइग्रेंट स्पेशल ट्रेनों में 2 कोच एसएलआर, 4 कोच द्वितीय सामान्य श्रेणी तथा 18 कोच शयनयान के हैं, कुल 24 में से 22 कोच में स्टूडेंट यात्रा कर रहे हैं।
#HbdNMsir","24","false"
"🏆Perfect 𝟯𝟬𝟬 𝗼𝘂𝘁 𝗼𝗳 𝟯𝟬𝟬 𝗶𝗻 𝗝𝗘𝗘 𝗠𝗔𝗜𝗡 𝟮𝟬𝟮𝟮 (June Attempt)
👉🏻ALLENite Sneha Pareek (2-Year Regular Classroom Course Student) showcases her brilliance with Perfect 300 Score!
(As per candidate response sheet &amp; correct answers by NTA)

#ALLENKota #KotaCoaching https://t.co/3xmu4Yz7xq","20","false"
"Congratulations India!!! 
It is a proud moment for us as #HarnaazSandhu has been crowned the 70th Miss Universe.
The crown is coming back home after 21 years. All Thanks to @HarnaazSandhu03 💐💐
#MissUniverse2021 #MissUniverse https://t.co/BsKDf8Hvv0","2","false"
"✌️ ALLEN Hai to Mumkin Hai
Every 2nd student in #JEEAdvanced 2021 Top 100 All India Ranks is an ALLENite. 

🏆 Presenting 'The National Achievers' of JEE (Advanced) 2021. 
✔️ 49 ALLENites captured positions in the Top 100 All India Ranks. 

#ALLENhaiToMumkinHai #JEEAdvancedResult https://t.co/aXIZRlaUiX","13","false"
"कोटा को गाइड लाइन का इंतजार
देश के लाखों स्टूडेंट्स व पेरेन्ट्स को #कोटा के #क्लासरूम कोचिंग शुरू होने का इंतजार है। केन्द्र सरकार की स्वीकृति के बाद राज्य सरकार की गाइड लाइन का इंतजार है। स्टूडेंट्स आने लगे हैं, यहां रहकर पढ़ाई शुरू करने लगे हैं।
#recallingkota @rpbreakingnews https://t.co/nuFAj4SiTq","12","false"
"आज ही के दिन 18 अप्रैल 1988 को एलन करियर इंस्टीट्यूट की नींव रखी गई थी। इस वृक्ष की शाखाएं आज देश मे 48 स्टडी सेंटर्स के माध्यम से लाखों स्टूडेंट्स को शिक्षा व संस्कार की छांव प्रदान कर रही है। इस मौके पर एलन के निदेशकों के नेतृत्व में विशाल पदयात्रा निकाली गई।  #35YearsofALLEN https://t.co/yQ8LC6Al3U","46","false"
"""Doctors are Real-Life Superheroes without the Capes,
They are often found saving lives behind the Drapes.""
🙏 Thank you, Superheroes, for your unmatched commitment and indelible services to the society.
#HappyDoctorsDay #ALLENKota #kotacoaching #DoctorsDay #doctorsday2020 https://t.co/v63hBLsoyF","1","false"
"#JEE_Breaking
JEE Main 2021 Session 4 Exam Dates have been revised, Now there is a four-week gap between Session 3rd &amp; 4th.
New Exam Dates are 26, 27, 31 August &amp; 1, 2 September.

#JEEMAIN2021 #JEEMains","3","false"
